#{"t_start": 1748618516.2045825, "env_id": "None"}
r,l,t
-1.4,4,5.689723
-2.35,7,5.691663
-2.0,6,5.693407
-2.45,7,5.695339
-1.75,6,5.697049
-1.15,3,5.698014
-0.1,16,5.702236
9.5,7,5.704193
29.45,22,5.71003
-0.85,9,5.712584
-2.65,8,5.71492
16.7,17,5.719332
3.25,19,5.72447
20.1,22,5.730367
1.0,21,5.735878
19.0,39,5.745699
-4.8,15,5.749695
0.5,29,5.757198
20.65,16,5.761417
-5.75,18,5.766081
-2.4,7,5.768077
-0.8,2,5.768814
8.5,14,5.772489
8.7,10,5.775197
-6.35,20,5.780325
59.9,21,5.785772
7.15,17,5.79038
20.2,13,5.793899
27.0,15,5.797872
-3.25,10,5.800884
1.15,15,5.805231
-2.4,7,5.807355
-1.7,5,5.808852
-0.8,2,5.809587
24.15,26,5.81628
35.1,22,5.822087
-15.5,50,5.866534
1.6,14,5.870331
-1.4,5,5.871811
-1.4,5,5.873282
-2.35,7,5.875324
-3.2,10,5.878302
0.3,18,5.883411
1.55,14,5.887282
25.35,28,5.894703
-2.65,8,5.8971
-1.15,6,5.898834
-6.25,28,5.905901
16.85,10,5.908749
-1.4,4,5.909994
-1.7,5,5.911427
0.55,17,5.915805
22.2,9,5.918224
41.7,38,5.928127
-1.7,5,5.92994
48.15,19,5.934877
-1.4,4,5.936126
-1.4,4,5.937333
15.3,21,5.942577
-1.7,5,5.944038
-3.3,9,5.946439
-3.6,10,5.949074
-1.4,4,5.950281
31.9,13,5.953727
-2.6,8,5.95608
15.35,9,5.958561
-3.25,10,5.961207
45.55,26,5.96778
1.75,13,5.971247
-1.1,3,5.972244
21.95,26,5.978943
-1.4,4,5.980345
-3.85,12,5.983539
-1.4,4,5.984774
-2.35,7,5.986781
-2.1,6,5.988643
4.1,23,5.994728
17.2,11,5.997752
18.35,18,6.002422
5.35,21,6.007949
-3.85,12,6.011222
-0.8,2,6.011958
1.25,15,6.015879
-2.0,8,6.018059
-2.9,9,6.020598
-2.65,8,6.02297
12.6,24,6.029128
23.5,26,6.035724
-1.1,3,6.036726
7.85,14,6.040311
-3.2,10,6.042968
2.8,10,6.045661
-2.05,6,6.04738
-2.3,7,6.049313
3.65,7,6.051226
-2.6,8,6.053521
3.7,8,6.055802
-3.0,9,6.058277
-1.1,4,6.059569
1.75,13,6.063323
-1.1,3,6.064806
-2.3,7,6.067041
22.1,19,6.072217
35.4,20,6.077824
-1.4,4,6.079159
-2.95,9,6.081597
6.6,35,6.090523
-1.1,6,6.092451
-3.3,10,6.0951
-0.8,2,6.095827
-8.55,27,6.102625
-2.05,6,6.104429
-2.7,8,6.106691
34.1,24,6.112839
-1.7,5,6.114443
-2.65,8,6.116591
1.45,15,6.120527
-1.15,3,6.121635
25.95,23,6.127504
-0.8,2,6.128285
-1.95,5,6.129706
-1.1,3,6.130668
3.0,9,6.133194
-1.1,3,6.134227
-8.05,23,6.154767
7.55,15,6.158814
-1.5,25,6.165687
-1.55,24,6.172233
-2.0,6,6.174572
-2.1,7,6.176604
-1.45,5,6.178043
-2.4,7,6.179956
16.05,19,6.18485
-5.1,16,6.189096
2.8,10,6.191917
-2.6,8,6.194226
-4.75,15,6.198174
-1.1,3,6.199145
8.3,38,6.208777
-1.4,4,6.210222
-5.75,18,6.214867
